store_number,store_name,store_type,street_address,city,state,zip,has_15O,has_34O,has_15U,has_34U,current_sku_count,on_endcap_no_catalyst,endcap_recommended_qty,latitude,longitude
5196,"MEMPHIS(ELVIS/HOLMES), TN",Supercenter,5255 ELVIS PRESLEY BLVD,MEMPHIS,TN,38116,,Y,,,1,,9,35.00384068491,-90.025380695693
5198,TIFTON GA,Neighborhood Market,1810 TIFT AVE N,TIFTON,GA,31794,Y,,,,1,,9,31.47083093868,-83.503166970059
5215,"DELANO, CA",Supercenter,530 WOOLLOMES AVE,DELANO,CA,93215,Y,,,,1,,9,35.746812851517,-119.249525180336
5216,"AMARILLO, (NW) TX",Supercenter,5730 W AMARILLO BLVD,AMARILLO,TX,79106,Y,,,,1,,9,35.212187189793,-101.902489642121
5220,TAMPA (DM WATERS) FL,Supercenter,8220 N DALE MABRY HWY,TAMPA,FL,33614,Y,,,,1,,9,28.023234814911,-82.505132296848
5224,SAN ANTONIO DEZEVALA TX,Neighborhood Market,4226 DE ZAVALA RD,SAN ANTONIO,TX,78249,Y,,,,1,,9,29.575875930694,-98.56624677675
5226,SAN ANTONIO MILITARY DR.,Neighborhood Market,9526 W MILITARY DR,SAN ANTONIO,TX,78251,,,,,0,Y,9,29.4597,-98.6555
5245,SAN ANTONIO (BROOKS) TX,Supercenter,3302 SE MILITARY DR,SAN ANTONIO,TX,78223,Y,,,,1,,9,29.351696011339,-98.433280798781
5248,TUSCALOOSA N AL,Neighborhood Market,1660 MCFARLAND BLVD,NORTHPORT,AL,35476,Y,,,,1,,9,33.238075098153,-87.573406010791
5250,KISSIMMEE FL,Supercenter,904 CYPRESS PKWY,KISSIMMEE,FL,34759,Y,,,,1,,9,28.146937281868,-81.44807332219
5252,LOGANVILLE GA,Supercenter,4221 ATLANTA HWY,LOGANVILLE,GA,30052,Y,,,Y,2,,9,33.843392359615,-83.908894501293
5255,TAMPA (ELLIOT) FL,Neighborhood Market,6216 ELLIOT DR,TAMPA,FL,33615,,,,,0,Y,9,28.0081,-82.5805
5256,TUSCALOOSA E AL,Neighborhood Market,4201 HARGROVE RD E,TUSCALOOSA,AL,35405,Y,,,,1,,9,33.2095614,-87.5675258
5265,SAINT CLOUD CANOE CREEK F,Neighborhood Market,2125 NOLTE RD,SAINT CLOUD,FL,34772,Y,,,,1,,9,28.2498534,-81.2839038
5278,CHICOPEE MA,Supercenter,591 MEMORIAL DR,CHICOPEE,MA,01020,Y,Y,,,2,,9,42.173321252033,-72.576344719929
5281,"WOODBRIDGE, NJ",Wal-Mart,360 US HIGHWAY 9 ROUTE N,WOODBRIDGE,NJ,07095,Y,Y,,,2,,9,40.55418,-74.2860008
5288,"SEAGOVILLE, TX",Supercenter,220 N HIGHWAY 175,SEAGOVILLE,TX,75159,Y,,,,1,,9,32.647745277458,-96.535158800154
5290,SAN ANTONIO ELLISON & MAR,Neighborhood Market,1515 S ELLISON DR,SAN ANTONIO,TX,78245,Y,,,,1,,9,29.417366654728,-98.678296635913
5291,WEST COLUMBIA BARNWELL SC,Neighborhood Market,1019 OLD BARNWELL RD,COLUMBIA,SC,29170,Y,,,,1,,9,33.944670434836,-81.169159843682
5292,"RALEIGH (E), NC",Supercenter,4431 NEW BERN AVE,RALEIGH,NC,27610,Y,,,,1,,9,35.798636366985,-78.562154717886
5298,GASTONIA NC,Supercenter,223 N MYRTLE SCHOOL RD,GASTONIA,NC,28052,Y,,,,1,,9,35.260927289973,-81.223249916146
5303,"PRESCOTT (W), AZ",Supercenter,1280 GAIL GARDNER WAY,PRESCOTT,AZ,86305,Y,Y,,Y,3,,9,34.566304525153,-112.484582248167
5309,OBERLIN OH,Supercenter,46440 US ROUTE 20,OBERLIN,OH,44074,Y,,,,1,,9,41.265422912307,-82.220128313791
5310,PRAIRIEVILLE LA,Neighborhood Market,15047 AIRLINE HWY,PRAIRIEVILLE,LA,70769,Y,Y,,,2,,9,30.285434189235,-90.956451054318
5312,FT WORTH (121) TX,Supercenter,3851 AIRPORT FWY,FORT WORTH,TX,76111,,Y,Y,,2,,9,32.774067805348,-97.290874213569
5314,"OKLAHOMA CITY (44), OK",Neighborhood Market,4420 S WESTERN AVE,OKLAHOMA CITY,OK,73109,,,,,0,Y,9,35.4259,-97.5261
5319,"MACARTHUR, WV",Supercenter,1881 ROBERT C BYRD DR,MACARTHUR,WV,25873,Y,,,,1,,9,37.754139,-81.2123209
5320,GREENSBORO (SE) NC,Supercenter,121 W ELMSLEY ST,GREENSBORO,NC,27406,Y,,,,1,,9,36.003613391659,-79.796234335999
5326,OCALA (SW) FL,Supercenter,9570 SW HIGHWAY 200,OCALA,FL,34481,Y,,,,1,,9,29.080344816415,-82.255803915368
5330,"PHOENIX, AZ",Supercenter,6145 N 35TH AVE,PHOENIX,AZ,85017,Y,,,,1,,9,33.526891645275,-112.134191734335
5331,PHOENIX TOLLESON AZ,Supercenter,7575 W LOWER BUCKEYE RD,PHOENIX,AZ,85043,,,,,0,Y,9,33.4491,-112.1972
5334,AURORA (DIA) CO,Supercenter,3301 TOWER RD,AURORA,CO,80011,Y,,,,1,,9,39.761636858569,-104.772385473877
5336,JENKS ELM OK,Neighborhood Market,11020 ELM ST,JENKS,OK,74037,,,,,0,Y,9,36.0148,-95.9797
5340,CHERRY HILL NJ,Wal-Mart,500 ROUTE 38,CHERRY HILL,NJ,08002,Y,,,,1,,9,39.9348351,-75.0307264
5345,DUNKIRK MD,Wal-Mart,10600 TOWNE CENTER BLVD,DUNKIRK,MD,20754,Y,,,,1,,9,38.719547731745,-76.6576593067
5348,"MONTGOMERY (C), AL",Supercenter,851 ANN ST,MONTGOMERY,AL,36107,Y,,,,1,,9,32.3804,-86.2799
5349,"MESA, AZ",Neighborhood Market,8335 E GUADALUPE RD,MESA,AZ,85212,Y,,,,1,,9,33.364724285639,-111.654552471341
5355,KENTON OH,Supercenter,1241 E COLUMBUS ST,KENTON,OH,43326,Y,,Y,,2,,9,40.652597179551,-83.589706377934
5356,BLAIRSVILLE PA,Supercenter,300 RESORT PLAZA DR,BLAIRSVILLE,PA,15717,,Y,,,1,,9,40.443400088121,-79.226880662357
5358,SHIPPENSBURG PA,Supercenter,100 S CONESTOGA DR,SHIPPENSBURG,PA,17257,Y,,,,1,,9,40.0514,-77.5195
5360,"TITUSVILLE, PA",Supercenter,11415 HYDETOWN RD,TITUSVILLE,PA,16354,,Y,,Y,2,,9,41.634263463246,-79.697458535768
5363,"HAMPTON, GA",Supercenter,11465 TARA BLVD,HAMPTON,GA,30228,Y,,,Y,2,,9,33.441046183486,-84.321811194942
5374,EATON OH,Supercenter,100A E WASHINGTON JACKSON RD,EATON,OH,45320,Y,,,,1,,9,39.766522665296,-84.63636178631
5376,"TAWAS CITY, MI",Supercenter,621 E LAKE ST,TAWAS CITY,MI,48763,Y,,,,1,,9,44.27541928131,-83.50494825648
5379,"CONNELLSVILLE, PA",Supercenter,1450 MORRELL AVE,CONNELLSVILLE,PA,15425,Y,,,,1,,9,40.004084919286,-79.602915449692
5384,"BRIDGETON, NJ",Wal-Mart,1130 HIGHWAY 77,BRIDGETON,NJ,08302,,,,,0,Y,9,39.3762,-75.1617
5385,"DEFIANCE, OH",Supercenter,1804 N CLINTON ST,DEFIANCE,OH,43512,Y,,,,1,,9,41.305621369703,-84.360937051028
5389,WACO (WOODWAY) TX,Supercenter,600 HEWITT DR,WACO,TX,76712,Y,,,,1,,9,31.5491899,-97.1474628
5390,"MARIETTA (TRADE CTR), GA",Supercenter,210 COBB PKWY S,MARIETTA,GA,30060,,,,,0,Y,9,33.9382,-84.5403
5393,GREENSBORO ALAMANCE CHURC,Neighborhood Market,1050 ALAMANCE CHURCH RD,GREENSBORO,NC,27406,Y,,,,1,,9,36.04132565567,-79.770608133936
5394,DINUBA CA,Supercenter,770 W EL MONTE WAY,DINUBA,CA,93618,Y,Y,Y,,3,,9,36.54599298898,-119.403761520996
5397,"WINONA, MN",Supercenter,955 FRONTENAC DR,WINONA,MN,55987,Y,,,,1,,9,44.035169800882,-91.618350587382
5402,CHICAGO (W) IL,Supercenter,4650 W NORTH AVE,CHICAGO,IL,60639,Y,,,,1,,9,41.909719270814,-87.742741213442
5409,ENGLEWOOD OH,Supercenter,7725 HOKE RD,ENGLEWOOD,OH,45315,Y,,,Y,2,,9,39.858379315611,-84.330647390284
5410,"CANTON (C), OH",Supercenter,4004 TUSCARAWAS ST W,CANTON,OH,44708,Y,,Y,Y,3,,9,40.796934433395,-81.420847585987
5422,"BAINBRIDGE, GA",Supercenter,500 E ALICE ST,BAINBRIDGE,GA,39819,,,,,0,Y,9,30.9039,-84.569
5423,"LAS VEGAS (HOLLYWOOD),NV",Neighborhood Market,6570 E LAKE MEAD BLVD,LAS VEGAS,NV,89156,,,,,0,Y,9,36.2034,-115.0364
5424,"EAGLE POINT, OR",Supercenter,11500 HANNON RD,EAGLE POINT,OR,97524,,,,,0,Y,9,42.4935,-122.8088
5425,"SAN JACINTO, CA",Supercenter,1861 S SAN JACINTO AVE,SAN JACINTO,CA,92583,Y,,,,1,,9,33.767628081651,-116.958697569398
5430,"ALBUQUERQUE, NM",Supercenter,3500 COORS BLVD SW,ALBUQUERQUE,NM,87121,Y,,,,1,,9,35.025313957726,-106.714173952894
5436,"NEW CASTLE, DE EF",Wal-Mart,1251 CENTERVILLE RD,WILMINGTON,DE,19808,,,,,0,Y,9,39.7359,-75.6647
5439,"NEW HAVEN, CT",Supercenter,315 FOXON BLVD,NEW HAVEN,CT,06513,,,,,0,Y,9,41.3072,-72.8654
5444,IRONWOOD MI,Supercenter,10305 COUNTRY CLUB ROAD,IRONWOOD,MI,49938,Y,,,,1,,9,46.4555673,-90.1684371
5449,"MISSOURI CITY (SIEN), TX",Supercenter,9929 HWY 6,MISSOURI CITY,TX,77459,,Y,,,1,,9,29.6185669,-95.5377215
5452,"EVANSVILLE, IN",Neighborhood Market,2500 N 1ST AVE,EVANSVILLE,IN,47710,Y,,,,1,,9,38.000995182936,-87.574522909016
5458,DELTA CO,Supercenter,37 STAFFORD LN,DELTA,CO,81416,Y,,,Y,2,,9,38.748645889487,-108.050705484879
5460,PORTLAND TX,Supercenter,2000 US HIGHWAY 181,PORTLAND,TX,78374,Y,,,,1,,9,27.8818828,-97.3188666
5467,MORRISTOWN BUFFALO TRAIL,Neighborhood Market,1997 BUFFALO TRL,MORRISTOWN,TN,37814,,,,,0,Y,9,36.2248,-83.3119
5472,SALINE MI,Supercenter,7000 E MICHIGAN AVE,SALINE,MI,48176,Y,,,,1,,9,42.1667072,-83.7816075
5481,"CHARLOTTE, NC",Supercenter,9820 CALLABRIDGE CT,CHARLOTTE,NC,28216,Y,,,,1,,9,35.327695071029,-80.945426094759
5482,"EATONTON, GA",Supercenter,201 WALMART DR,EATONTON,GA,31024,Y,,,,1,,9,33.3267128,-83.388485
5486,"COUNTRY CLUB HILLS, IL",Supercenter,4005 167TH ST,COUNTRY CLUB HILLS,IL,60478,,Y,,,1,,9,41.586135905598,-87.714416180537
5487,"TRAVELERS REST, SC",Supercenter,9 BENTON RD,TRAVELERS REST,SC,29690,Y,,,,1,,9,34.962118333472,-82.431894204136
5488,"NORFOLK (N), VA",Supercenter,7530 TIDEWATER DR,NORFOLK,VA,23505,Y,,,Y,2,,9,36.912585798823,-76.255102059284
5489,"PEMBROKE, NC",Supercenter,930 HIGHWAY 711 EAST,PEMBROKE,NC,28372,Y,,,,1,,9,34.6800748,-79.1933485
5490,SAN ANTONIO SHAENFIELD TX,Neighborhood Market,9005 FM 1560 N,SAN ANTONIO,TX,78254,Y,,,,1,,9,29.524246503669,-98.718122027399
5492,"SOCORRO, NM",Supercenter,700 6TH ST N,SOCORRO,NM,87801,Y,,,,1,,9,34.0631049196,-106.891111694597
5495,"GLENOLDEN, PA",Wal-Mart,50 N MACDADE BLVD,GLENOLDEN,PA,19036,,,,,0,Y,9,39.9048,-75.2946
5601,HUNTINGTON BEACH CA,Neighborhood Market,21132 BEACH BLVD,HUNTINGTON BEACH,CA,92648,,,,,0,Y,9,33.6773,-118.0051
5603,DOWNEY CA,Neighborhood Market,12270 PARAMOUNT BLVD,DOWNEY,CA,90242,,,,,0,Y,9,33.9218,-118.1395
5604,HAWTHORNE CA,Neighborhood Market,14441 INGLEWOOD AVE,HAWTHORNE,CA,90250,Y,,,,1,,9,33.9143,-118.3493
5606,WOODLAND E CA,Neighborhood Market,1250 E GIBSON RD,WOODLAND,CA,95776,Y,,,Y,2,,9,38.662791920277,-121.763284748792
5612,HOUSTON I-45 AND WAYSIDE,Supercenter,2391 S WAYSIDE DR,HOUSTON,TX,77023,Y,,,,1,,9,29.716392077052,-95.314708747674
5613,ARLINGTON N TX,Neighborhood Market,2121 N COLLINS ST,ARLINGTON,TX,76011,,,,,0,Y,9,32.7582,-97.1003
5624,FARMERS BRANCH TX,Neighborhood Market,13100 JOSEY LN,FARMERS BRANCH,TX,75234,,,,,0,Y,9,32.9245,-96.8938
5626,TUCSON BRIDGES AZ,Supercenter,1260 E TUCSON MARKETPLACE BLVD,TUCSON,AZ,85713,,,,,0,Y,9,32.1941,-110.9739
5627,GRESHAM 181ST OR,Neighborhood Market,3900 W POWELL BLVD,GRESHAM,OR,97030,Y,,,,1,,9,45.489552799205,-122.470961180378
5629,EUREKA CA,Wal-Mart,3300 BROADWAY BAYSHORE MALL,EUREKA,CA,95501,,,,,0,Y,9,40.7938,-124.1573
5632,FRESNO BLACKSTONE CA,Supercenter,1804 E ASHLAN AVE,FRESNO,CA,93726,Y,,,,1,,9,36.794034661895,-119.78932141619
5635,VISALIA NW CA,Neighborhood Market,1320 N DEMAREE ST,VISALIA,CA,93291,,,,,0,Y,9,36.3551,-119.301
5654,TAMPA HIMES FL,Neighborhood Market,3671 W HILLSBOROUGH AVE,TAMPA,FL,33614,Y,,,,1,,9,27.99597641605,-82.50307479053
5661,LA MIRADA CA,Neighborhood Market,14865 TELEGRAPH ROAD,LA MIRADA,CA,90638,,,,,0,Y,9,33.9067,-118.0101
5669,WEST MILWAUKEE WI,Supercenter,4140 W GREENFIELD AVE,WEST MILWAUKEE,WI,53215,Y,,,,1,,9,43.016917269354,-87.965354456781
5675,ALBUQUERQUE MENAUL NM,Neighborhood Market,11001 MENAUL BLVD NE,ALBUQUERQUE,NM,87112,,,,,0,Y,9,35.101,-106.5183
5683,ELK GROVE EG BLVD CA,Neighborhood Market,8455 ELK GROVE BLVD,ELK GROVE,CA,95758,,,,,0,Y,9,38.4243,-121.437
5691,UPLAND CA,Neighborhood Market,1445 E FOOTHILL BLVD,UPLAND,CA,91786,,Y,,,1,,9,34.106859365637,-117.629755424206
5692,SPRINGFIELD MO,Neighborhood Market,3150 W REPUBLIC RD,SPRINGFIELD,MO,65810,Y,,,,1,,9,37.13839999585,-93.342435570079
5693,SPRINGFIELD MO,Neighborhood Market,1320 S GLENSTONE AVE,SPRINGFIELD,MO,65804,Y,,,,1,,9,37.190633249136,-93.262116042465
5701,"KERMAN, CA",Supercenter,14061 W. WHITESBRIDGE AVENUE,KERMAN,CA,93630,Y,,,,1,,9,36.734892520694,-120.043663340957
5702,"LUBBOCK, TX",Neighborhood Market,9809 UNIVERSITY AVE,LUBBOCK,TX,79423,,,,,0,Y,9,33.5146,-101.8795
5703,"HUNTSVILLE (NW), AL",Supercenter,8580 HWY 72 W,MADISON,AL,35758,Y,,,,1,,9,34.748046325732,-86.772390734272
5709,"LOCUST GROVE, GA",Supercenter,4949 BILL GARDNER PKWY,LOCUST GROVE,GA,30248,Y,,,,1,,9,33.353779498371,-84.122018838495
5713,"LAREDO (NE), TX",Supercenter,2615 NE BOB BULLOCK LOOP,LAREDO,TX,78045,Y,,,,1,,9,27.61250253226,-99.465464488504
5715,ABILENE TX,Neighborhood Market,1619 AMBLER AVE,ABILENE,TX,79601,Y,,,,1,,9,32.474511591282,-99.738221278704
5717,EL PASO PASEO DEL NORTE T,Supercenter,7831 PASEO DEL NORTE BLVD,EL PASO,TX,79912,Y,,,,1,,9,31.884114803472,-106.576653555883
5719,MIAMI CORAL WAY FL,Neighborhood Market,14720 SW 26TH ST,MIAMI,FL,33185,,,,,0,Y,9,25.7274,-80.4497
5722,"NEW ORLEANS (MANHTTN), LA",Neighborhood Market,3265 MANHATTAN BLVD,HARVEY,LA,70058,,,,,0,Y,9,29.8725,-90.0673
5727,"SARASOTA (NE), FL",Supercenter,5810 RANCH LAKE BLVD,BRADENTON,FL,34202,Y,,,,1,,9,27.43565333781,-82.458683434653
5734,KINGSPORT TN,Neighborhood Market,750 LYNN GARDEN DR,KINGSPORT,TN,37660,Y,,,,1,,9,36.562198671749,-82.56700634245
5740,MOBILE GOVERNMENT AL,Neighborhood Market,2570 GOVERNMENT BLVD,MOBILE,AL,36606,Y,,,,1,,9,30.666644429591,-88.105630679777
5741,"ORLANDO(CURRY/ECON), FL",Neighborhood Market,9047 CURRY FORD RD,ORLANDO,FL,32825,Y,,,,1,,9,28.510107956924,-81.258011672722
5747,"LOCUST, NC",Supercenter,1876 MAIN ST W,LOCUST,NC,28097,Y,,,,1,,9,35.254633933883,-80.450783187314
5751,"SALINAS, CA",Supercenter,1375 N DAVIS RD.,SALINAS,CA,93907,Y,,,,1,,9,36.705244355034,-121.666631743085
5752,"GARFIELD, NJ",Supercenter,174 PASSAIC ST,GARFIELD,NJ,07026,Y,Y,,,2,,9,40.86838190097,-74.10033538331
5753,"ALEXANDRIA, VA",Supercenter,6303 RICHMOND HWY,ALEXANDRIA,VA,22306,,,,,0,Y,9,38.7589,-77.0873
5769,DOTHAN W AL,Neighborhood Market,3871 W MAIN ST,DOTHAN,AL,36305,Y,,,,1,,9,31.23356746864,-85.451244044013
5772,"BEVERLY HILLS, FL",Supercenter,1936 N LECANTO HWY,LECANTO,FL,34461,,,,,0,Y,9,28.8516,-82.4876
5773,NEW IBERIA C LA,Neighborhood Market,1201 PARKVIEW DR,NEW IBERIA,LA,70563,Y,,,,1,,9,30.00237592041,-91.801752008193
5777,"BROOKLYN, CT",Supercenter,450 PROVIDENCE ROAD,BROOKLYN,CT,06234,Y,,,Y,2,,9,41.79724689975,-71.911375687261
5780,PARAGOULD AR,Neighborhood Market,2600 LINWOOD DR,PARAGOULD,AR,72450,Y,,,,1,,9,36.029780867123,-90.521880245153
5782,LAS CRUCES SONOMA RANCH N,Neighborhood Market,150 N SONOMA RANCH BLVD,LAS CRUCES,NM,88011,Y,,,,1,,9,32.3140354,-106.779807
5797,"ALBANY (E), GA",Supercenter,262 CORDELE RD,ALBANY,GA,31705,,Y,,,1,,9,31.57878519822,-84.088901539062
5806,GRAND FORKS NW ND,Supercenter,5755 GATEWAY DR,GRAND FORKS,ND,58203,Y,,,,1,,9,47.9252104,-97.0306325
5808,ELSA TX,Supercenter,411 SOUTH BROADWAY STREET,ELSA,TX,78543,Y,,,,1,,9,26.2966228,-97.9931057
5809,EDINBURG TX,Supercenter,2812 S EXPRESSWAY 281,EDINBURG,TX,78542,Y,,,,1,,9,26.3013982,-98.1624501
5812,BLUE RIDGE GA,Supercenter,97 COMMERCE DRIVE,BLUE RIDGE,GA,30513,Y,,,,1,,9,34.863972,-84.324087
5813,AUGUSTA EVANS GA,Neighborhood Market,3851 EVANS TO LOCKS ROAD,MARTINEZ,GA,30907,Y,,,,1,,9,33.550045297502,-82.086661161091
5828,PUEBLO CO,Neighborhood Market,2730 S PRAIRIE AVE,PUEBLO,CO,81005,Y,,,,1,,9,38.221024654641,-104.643649563958
5829,DANVILLE VA,Neighborhood Market,211 NOR DAN DR UNIT 1010,DANVILLE,VA,24540,,,,,0,Y,9,36.6218,-79.4124
5832,"MANDEVILLE, LA",Neighborhood Market,3009 E CAUSEWAY APPROACH,MANDEVILLE,LA,70448,Y,,,,1,,9,30.3582305,-90.0657477
5835,"CAVE CREEK, AZ",Supercenter,34399 N CAVE CREEK RD,CAVE CREEK,AZ,85331,Y,Y,,,2,,9,33.795538574152,-111.96582757133
5844,"LIVONIA, MI",Supercenter,29574 7 MILE RD,LIVONIA,MI,48152,Y,,,,1,,9,42.426962696008,-83.342980629917
5851,"GREENVILLE, NC",Supercenter,4600 E. 10TH ST,GREENVILLE,NC,27858,Y,,,,1,,9,35.581067173726,-77.304338837879
5853,LONGVIEW WA,Supercenter,3715 OCEAN BEACH HWY,LONGVIEW,WA,98632,Y,,,,1,,9,46.154569919369,-122.981526385204
